200   62   42   6   538   258   94
201   62   42   8   538   258   92
202   62   45   6   538   255   94
203   62   43   5   538   257   95
204   62   44   5   538   256   95
205   62   45   8   538   255   92
206   62   44   6   538   256   94
207   62   46   5   538   254   95
208   62   42   8   538   258   92
209   62   45   8   538   255   92
210   62   42   5   538   258   95
211   63   37   7   537   263   93
212   64   43   7   536   257   93
213   64   47   8   536   253   92
214   65   44   8   535   256   92
215   65   46   8   535   254   92
216   66   42   9   534   258   91
217   67   40   8   533   260   92
218   68   49   6   532   251   94
219   68   46   6   532   254   94
220   68   48   7   532   252   93
221   68   50   7   532   250   93
222   68   50   7   532   250   93
223   68   51   4   532   249   96
224   68   51   3   532   249   97
225   68   53   6   532   247   94
226   69   50   5   531   250   95
227   69   53   5   531   247   95
228   69   48   8   531   252   92
229   69   50   7   531   250   93
230   69   45   6   531   255   94
231   69   42   5   531   258   95
232   69   44   7   531   256   93
233   69   45   7   531   255   93
234   69   42   7   531   258   93
235   69   45   6   531   255   94
236   70   47   8   530   253   92
237   70   45   11   530   255   89
238   70   50   6   530   250   94
239   70   52   6   530   248   94
240   70   50   6   530   250   94
241   70   48   7   530   252   93
242   70   47   7   530   253   93
243   71   48   6   529   252   94
244   71   55   5   529   245   95
245   71   53   6   529   247   94
246   72   57   6   528   243   94
247   72   49   6   528   251   94
248   72   48   6   528   252   94
249   72   49   9   528   251   91
250   72   48   12   528   252   88
251   72   50   8   528   250   92
252   72   48   9   528   252   91
253   72   51   8   528   249   92
254   72   53   9   528   247   91
255   72   51   8   528   249   92
256   72   45   8   528   255   92
257   73   44   6   527   256   94
258   73   43   7   527   257   93
259   73   41   8   527   259   92
260   73   44   9   527   256   91
261   74   44   7   526   256   93
262   74   47   7   526   253   93
263   73   49   5   527   251   95
264   73   52   8   527   248   92
265   73   52   8   527   248   92
266   73   46   9   527   254   91
267   73   49   9   527   251   91
268   73   54   7   527   246   93
269   73   61   8   527   239   92
270   73   50   9   527   250   91
271   73   52   7   527   248   93
272   73   51   5   527   249   95
273   73   50   6   527   250   94
274   73   47   5   527   253   95
275   73   46   8   527   254   92
276   73   48   9   527   252   91
277   73   59   7   527   241   93
278   73   55   5   527   245   95
279   73   54   6   527   246   94
280   72   49   7   528   251   93
281   73   51   4   527   249   96
282   73   48   7   527   252   93
283   73   52   7   527   248   93
284   73   46   3   527   254   97
285   74   47   5   526   253   95
286   76   53   8   524   247   92
287   76   57   6   524   243   94
288   76   57   5   524   243   95
289   76   57   4   524   243   96
290   76   52   5   524   248   95
291   75   50   8   525   250   92
292   75   51   8   525   249   92
293   76   54   7   524   246   93
294   76   55   6   524   245   94
295   76   53   5   524   247   95
296   76   48   7   524   252   93
297   75   41   7   525   259   93
298   75   49   4   525   251   96
299   75   49   7   525   251   93
300   75   48   7   525   252   93
301   75   45   7   525   255   93
302   75   47   6   525   253   94
303   75   47   7   525   253   93
304   75   57   7   525   243   93
305   76   50   8   524   250   92
306   76   45   7   524   255   93
307   76   47   7   524   253   93
308   77   48   8   523   252   92
309   78   51   9   522   249   91
310   79   54   8   521   246   92
311   78   59   9   522   241   91
312   78   55   8   522   245   92
313   78   58   9   522   242   91
314   78   55   9   522   245   91
315   78   52   6   522   248   94
316   79   50   8   521   250   92
317   79   50   7   521   250   93
318   80   53   11   520   247   89
319   80   49   12   520   251   88
320   80   52   11   520   248   89
321   80   47   7   520   253   93
322   80   50   5   520   250   95
323   80   57   6   520   243   94
324   81   56   8   519   244   92
325   81   54   9   519   246   91
326   81   53   11   519   247   89
